Agency,Salary Range To,Business Title
ADMIN FOR CHILDREN'S SVCS,98163,Network Engineer I LAN/WAN
ADMIN TRIALS AND HEARINGS,42799,Facilities & Security Coordinator
BOARD OF CORRECTION,65625,Standards Specialist (Monitor)
BOROUGH PRESIDENT-QUEENS,95270,Engineering
BUSINESS INTEGRITY COMMISSION,85000,Computer Systems Manager
CIVILIAN COMPLAINT REVIEW BD,61936,Administrative Coordinator
CONFLICTS OF INTEREST BOARD,170000,DIRECTOR OF ENFORCEMENT
CONSUMER AFFAIRS,70000,Operations Coordinator
DEPARTMENT FOR THE AGING,86.1698,Project Manager (Per-Diem)
DEPARTMENT OF BUILDINGS,82137,Borough Enforcement Attorney
DEPARTMENT OF BUSINESS SERV.,96000,"DEPUTY DIRECTOR, PARTNERSHIPS AND COMMUNICATIONS"
DEPARTMENT OF CITY PLANNING,95000,Full Stack LAMP Developer
DEPARTMENT OF CORRECTION,99394,Agency Attorney
DEPARTMENT OF FINANCE,92000,Manager
DEPARTMENT OF INVESTIGATION,93866,Deputy Inspector General
DEPARTMENT OF PROBATION,82377,Agency Attorney
DEPARTMENT OF SANITATION,84906,METAL WORK MECHANIC
DEPARTMENT OF TRANSPORTATION,97873,Hiring Plan Analyst
DEPT OF CITYWIDE ADMIN SVCS,95000,"Program Manager, Clean Energy"
DEPT OF DESIGN & CONSTRUCTION,97873,Supervisor
DEPT OF ENVIRONMENT PROTECTION,99394,PROCUREMENT/NEGOTIATIONS ATTORNEY
DEPT OF HEALTH/MENTAL HYGIENE,98818.92,"Business/Data Analyst, Bureau of Human Resources and Labor Relations"
DEPT OF INFO TECH & TELECOMM,95896,Application Support Reporting Specialist
DEPT OF PARKS & RECREATION,92640,"Landscape Architect for Forestry, Horticulture and Natural Resources"
DEPT OF YOUTH & COMM DEV SRVS,90000,"NYC Census 2020 - Senior Advisor, Communications"
DEPT. OF HOMELESS SERVICES,92001,DHS OVERDOSE PREVENTION COORDINATOR
DISTRICT ATTORNEY KINGS COUNTY,63794,EEO Associate
DISTRICT ATTORNEY RICHMOND COU,77000,Administrative Supervisor
EQUAL EMPLOY PRACTICES COMM,72712,Director of Learning and Development
FINANCIAL INFO SVCS AGENCY,85000,TECH SUPPORT/SCHEDULER
FIRE DEPARTMENT,82137,EEO Attorney
HOUSING PRESERVATION & DVLPMNT,97138,Senior Policy Researcher
HRA/DEPT OF SOCIAL SERVICES,97873,AOTPS Budget Manager
HUMAN RIGHTS COMMISSION,95000,SUPERVISING ATTORNEY
LANDMARKS PRESERVATION COMM,64297,"LANDMARKS PRESERVATIONIST, PRESERVATION DEPT"
LAW DEPARTMENT,99406,Senior Windows Administrator
MANHATTAN COMMUNITY BOARD #8,19,Community Assistant
MAYORS OFFICE OF CONTRACT SVCS,90000,"Senior Data Lead, M/WBE"
NYC DEPT OF VETERANS' SERVICES,92001,Director of Housing Initiatives
NYC EMPLOYEES RETIREMENT SYS,99161,COMPUTER SPECIALIST (SOFTWARE)
NYC HOUSING AUTHORITY,99303,Assistant Project Manager
OFF OF PAYROLL ADMINISTRATION,83500,Business Analyst
OFFICE OF COLLECTIVE BARGAININ,10.36,COLLEGE AIDE - CLERICAL
OFFICE OF EMERGENCY MANAGEMENT,85000,DISABILITY ACCESS AND FUNCTIONAL NEEDS MANAGER
OFFICE OF MANAGEMENT & BUDGET,98388,Unit Head  CORRECTION
OFFICE OF THE COMPTROLLER,95000,"Division Chief, Premises Liability Claims"
POLICE DEPARTMENT,97873,Associate Staff Analyst
PRESIDENT BOROUGH OF MANHATTAN,60000,Urban Planner
PUBLIC ADMINISTRATOR-NEW YORK,49349,BOOKKEEPER
TAX COMMISSION,90177,CITY ASSESSOR
TAXI & LIMOUSINE COMMISSION,98000,Project Manager - Business Analyst
TEACHERS RETIREMENT SYSTEM,75760,AGENCY ATTORNEY INTERNE
